Date,Close,Open,High,Low,Volume,Type
2018-07-03,1342.2,1342.2,1342.2,1342.2,40.0,Gold
2018-07-04,1258.1,1256.2,1262.4,1255.3,0.0,Gold
2018-07-05,1347.4,1347.4,1347.4,1347.4,10.0,Gold
2018-07-06,1344.6,1344.6,1344.6,1344.6,10.0,Gold
2018-07-09,1348.8,1348.8,1348.8,1348.8,40.0,Gold
2018-07-10,1344.9,1344.9,1344.9,1344.9,70.0,Gold
2018-07-11,1333.1,1333.1,1333.1,1333.1,30.0,Gold
2018-07-12,1335.2,1335.2,1335.2,1335.2,10.0,Gold
2018-07-13,1329.0,1327.0,1327.0,1327.0,0.0,Gold
2018-07-16,1327.5,1327.5,1327.5,1327.5,0.0,Gold
2018-07-17,1314.6,1320.0,1320.0,1320.0,30.0,Gold
2018-07-18,1315.0,1315.0,1315.0,1315.0,0.0,Gold
2018-07-19,1310.4,1302.0,1302.0,1302.0,80.0,Gold
2018-07-20,1316.8,1316.8,1316.8,1316.8,150.0,Gold
2018-07-23,1310.7,1307.6,1307.6,1307.6,0.0,Gold
2018-07-24,1310.8,1310.8,1310.8,1310.8,40.0,Gold
2018-07-25,1316.7,1316.7,1316.7,1316.7,60.0,Gold
2018-07-26,1311.5,1311.5,1311.5,1311.5,0.0,Gold
2018-07-27,1309.0,1309.0,1309.0,1309.0,0.0,Gold
2018-07-30,1307.7,1306.9,1309.1,1301.9,10.0,Gold
2018-07-31,1309.8,1309.8,1309.8,1309.8,2720.0,Gold
2018-08-01,1304.0,1304.0,1304.0,1304.0,1030.0,Gold
2018-08-02,1296.2,1308.0,1308.0,1308.0,0.0,Gold
2018-08-03,1299.4,1288.8,1298.4,1288.8,10.0,Gold
2018-08-06,1293.6,1302.8,1305.0,1298.6,10.0,Gold
2018-08-07,1294.2,1294.2,1294.2,1294.2,720.0,Gold
2018-08-08,1296.8,1296.8,1296.8,1296.8,210.0,Gold
2018-08-09,1295.8,1295.8,1295.8,1295.8,40.0,Gold
2018-08-10,1294.6,1294.6,1294.6,1294.6,80.0,Gold
2018-08-13,1274.1,1274.1,1274.1,1274.1,10.0,Gold
2018-08-14,1275.9,1273.4,1273.4,1273.4,0.0,Gold
2018-08-15,1259.7,1265.8,1265.8,1265.8,0.0,Gold
2018-08-16,1258.0,1258.0,1258.0,1258.0,40.0,Gold
2018-08-17,1258.1,1258.1,1258.1,1258.1,0.0,Gold
2018-08-20,1267.5,1266.0,1266.0,1266.0,0.0,Gold
2018-08-21,1272.8,1272.9,1272.9,1272.9,0.0,Gold
2018-08-22,1275.8,1280.2,1280.2,1278.2,0.0,Gold
2018-08-23,1265.2,1265.2,1265.2,1265.2,0.0,Gold
2018-08-24,1285.0,1285.0,1285.0,1285.0,10.0,Gold
2018-08-27,1288.0,1288.0,1288.0,1288.0,150.0,Gold
2018-08-28,1286.4,1286.4,1286.4,1286.4,140.0,Gold
2018-08-29,1283.3,1283.3,1283.3,1283.3,30.0,Gold
2018-08-30,1276.1,1276.1,1276.1,1276.1,10.0,Gold
2018-08-31,1277.7,1277.7,1277.7,1277.7,30.0,Gold
2018-09-02,1204.9,1206.2,1206.6,1204.5,0.0,Gold
2018-09-03,1206.3,1204.9,1209.6,1201.3,0.0,Gold
2018-09-04,1270.2,1270.2,1270.2,1270.2,30.0,Gold
2018-09-05,1272.6,1266.1,1271.9,1266.1,10.0,Gold
2018-09-06,1275.7,1275.7,1275.7,1275.7,0.0,Gold
2018-09-07,1272.1,1272.1,1272.1,1272.1,0.0,Gold
