Date,Close,Open,High,Low,Volume
2017-10-01,50.94,51.62,51.73,50.46,584616.0
2017-10-02,50.58,51.64,51.71,50.07,600933.0
2017-10-03,50.42,50.59,50.73,50.14,462735.0
2017-10-04,49.98,50.16,50.67,49.76,598836.0
2017-10-05,50.79,49.88,51.22,49.85,654385.0
2017-10-06,49.29,50.75,50.82,49.1,743114.0
2017-10-07,49.39,50.25,50.48,49.11,663769.0
2017-10-08,49.48,49.75,50.13,49.12,584424.0
2017-10-09,49.58,49.25,49.79,49.13,505079.0
2017-10-10,50.92,49.55,51.06,49.54,664839.0
2017-10-11,51.3,50.94,51.42,50.61,651948.0
2017-10-12,50.6,51.0,51.13,50.15,729273.0
2017-10-13,51.45,50.73,51.72,50.7,667497.0
2017-10-14,51.59,50.96,51.94,50.92,618573.0
2017-10-15,51.73,51.2,52.15,51.13,569649.0
2017-10-16,51.87,51.43,52.37,51.35,520725.0
2017-10-17,51.88,51.93,52.25,51.21,471612.0
2017-10-18,52.04,51.94,52.33,51.69,152620.0
2017-10-19,51.29,52.05,52.17,51.07,127413.0
2017-10-20,51.47,51.42,51.73,50.7,674142.0
2017-10-21,51.61,51.64,51.92,51.03,643949.0
2017-10-22,51.76,51.85,52.11,51.35,613756.0
2017-10-23,51.9,52.07,52.3,51.68,583563.0
2017-10-24,52.47,51.89,52.62,51.55,709553.0
2017-10-25,52.18,52.56,52.57,51.89,681739.0
2017-10-26,52.64,52.19,52.86,51.91,594647.0
2017-10-27,53.9,52.8,54.2,52.25,730915.0
2017-10-28,53.98,53.25,54.29,52.75,675624.33
2017-10-29,54.07,53.71,54.37,53.25,620333.67
2017-10-30,54.15,54.16,54.46,53.75,565043.0
2017-10-31,54.38,54.08,54.85,53.93,497295.0
2017-11-01,54.3,54.65,55.22,53.89,671038.0
2017-11-02,54.54,54.28,54.84,53.99,482846.0
2017-11-03,55.64,54.73,55.76,54.4,614159.0
2017-11-04,56.21,55.14,56.38,54.82,696677.0
2017-11-05,56.78,55.56,56.99,55.24,779195.0
2017-11-06,57.35,55.97,57.61,55.66,861713.0
2017-11-07,57.2,57.27,57.69,56.83,750187.0
2017-11-08,56.81,56.96,57.92,56.41,919147.0
2017-11-09,57.17,56.85,57.53,56.69,666949.0
2017-11-10,56.74,57.02,57.35,56.55,541296.0
2017-11-11,56.75,56.98,57.28,56.47,571403.67
2017-11-12,56.75,56.94,57.22,56.38,601511.33
2017-11-13,56.76,56.9,57.15,56.3,631619.0
2017-11-14,55.7,56.72,56.77,54.81,707338.0
2017-11-15,55.33,55.06,55.56,54.88,501385.0
2017-11-16,55.14,55.3,55.62,54.93,213923.0
2017-11-17,56.55,55.25,56.68,55.18,184944.0
2017-11-18,56.4,55.73,56.71,55.31,321043.0
2017-11-19,56.24,56.21,56.73,55.44,457142.0
2017-11-20,56.09,56.69,56.76,55.57,593241.0
2017-11-21,56.83,56.38,57.22,56.32,619066.0
2017-11-22,58.02,57.12,58.15,57.03,837411.0
2017-11-23,58.04,57.49,58.32,57.13,807944.4
2017-11-24,58.06,57.85,58.49,57.24,778477.8
2017-11-25,58.07,58.22,58.65,57.34,749011.2
2017-11-26,58.09,58.58,58.82,57.45,719544.6
2017-11-27,58.11,58.95,58.99,57.55,690078.0
2017-11-28,57.99,57.86,58.11,57.42,546526.0
2017-11-29,57.3,57.73,58.3,56.75,741564.0
2017-11-30,57.4,57.41,57.98,56.82,735128.0
2017-12-01,58.36,57.42,58.88,57.29,685215.0
2017-12-02,58.06,57.72,58.7,57.31,633465.0
2017-12-03,57.77,58.02,58.52,57.33,581715.0
2017-12-04,57.47,58.32,58.34,57.35,529965.0
2017-12-05,57.62,57.48,57.92,57.08,499245.0
2017-12-06,55.96,57.45,57.57,55.87,678992.0
2017-12-07,56.69,56.0,56.78,55.82,557325.0
2017-12-08,57.36,56.65,57.79,56.54,681599.0
2017-12-09,57.57,56.85,57.89,56.66,656640.67
2017-12-10,57.78,57.05,57.98,56.79,631682.33
2017-12-11,57.99,57.25,58.08,56.91,606724.0
2017-12-12,57.14,58.02,58.56,56.85,826488.0
2017-12-13,56.6,57.45,57.83,56.55,658143.0
2017-12-14,57.04,56.7,57.22,56.09,580571.0
2017-12-15,57.3,57.15,57.49,56.94,210054.0
2017-12-16,57.25,57.22,57.59,56.9,185753.0
2017-12-17,57.21,57.3,57.68,56.86,161452.0
2017-12-18,57.16,57.37,57.78,56.82,137151.0
2017-12-19,57.46,57.3,57.64,57.16,420784.0
2017-12-20,58.09,57.66,58.12,57.44,420844.0
2017-12-21,58.36,58.02,58.38,57.63,405320.0
2017-12-22,58.47,58.21,58.5,57.87,324554.0
2017-12-23,58.85,58.26,58.88,57.98,352861.75
2017-12-24,59.22,58.31,59.25,58.09,381169.5
2017-12-25,59.6,58.35,59.63,58.21,409477.25
2017-12-26,59.97,58.4,60.01,58.32,437785.0
2017-12-27,59.64,59.79,59.93,59.33,402396.0
2017-12-28,59.84,59.53,59.94,59.44,345962.0
2017-12-29,60.42,59.91,60.51,59.82,464478.0
2017-12-30,60.41,59.98,60.57,59.89,475936.75
2017-12-31,60.39,60.06,60.62,59.96,487395.5
2018-01-01,60.38,60.13,60.68,60.03,498854.25
2018-01-02,60.37,60.2,60.74,60.1,510313.0
2018-01-03,61.63,60.39,61.97,60.28,673859.0
2018-01-04,62.01,61.96,62.21,61.59,654363.0
2018-01-05,61.44,61.9,62.04,61.09,563036.0
2018-01-06,61.54,61.8,62.02,61.17,580848.67
2018-01-07,61.63,61.71,61.99,61.26,598661.33
2018-01-08,61.73,61.61,61.97,61.34,616474.0
2018-01-09,62.96,61.92,63.48,61.8,844720.0
2018-01-10,63.57,63.41,63.67,63.09,697844.0
2018-01-11,63.8,63.5,64.77,63.43,876642.0
2018-01-12,64.3,63.57,64.5,63.06,678727.0
