Date,Close,Type
2016-08-16,2178.15,SP500
2016-08-17,2182.22,SP500
2016-08-18,2187.02,SP500
2016-08-19,2183.87,SP500
2016-08-22,2182.64,SP500
2016-08-23,2186.9,SP500
2016-08-24,2175.44,SP500
2016-08-25,2172.47,SP500
2016-08-26,2169.04,SP500
2016-08-29,2180.38,SP500
2016-08-30,2176.12,SP500
2016-08-31,2170.95,SP500
2016-09-01,2170.86,SP500
2016-09-02,2179.98,SP500
2016-09-06,2186.48,SP500
2016-09-07,2186.16,SP500
2016-09-08,2181.3,SP500
2016-09-09,2127.81,SP500
2016-09-12,2159.04,SP500
2016-09-13,2127.02,SP500
2016-09-14,2125.77,SP500
2016-09-15,2147.26,SP500
2016-09-16,2139.16,SP500
2016-09-19,2139.12,SP500
2016-09-20,2139.76,SP500
2016-09-21,2163.12,SP500
2016-09-22,2177.18,SP500
2016-09-23,2164.69,SP500
2016-09-26,2146.1,SP500
2016-09-27,2159.93,SP500
2016-09-28,2171.37,SP500
2016-09-29,2151.13,SP500
2016-09-30,2168.27,SP500
2016-10-03,2161.2,SP500
2016-10-04,2150.49,SP500
2016-10-05,2159.73,SP500
2016-10-06,2160.77,SP500
2016-10-07,2153.74,SP500
2016-10-10,2163.66,SP500
2016-10-11,2136.73,SP500
2016-10-12,2139.18,SP500
2016-10-13,2132.55,SP500
2016-10-14,2132.98,SP500
2016-10-17,2126.5,SP500
2016-10-18,2139.6,SP500
2016-10-19,2144.29,SP500
2016-10-20,2141.34,SP500
2016-10-21,2141.16,SP500
2016-10-24,2151.33,SP500
2016-10-25,2143.16,SP500
2016-10-26,2139.43,SP500
2016-10-27,2133.04,SP500
2016-10-28,2126.41,SP500
2016-10-31,2126.15,SP500
2016-11-01,2111.72,SP500
2016-11-02,2097.94,SP500
2016-11-03,2088.66,SP500
2016-11-04,2085.18,SP500
2016-11-07,2131.52,SP500
2016-11-08,2139.56,SP500
2016-11-09,2163.26,SP500
2016-11-10,2167.48,SP500
2016-11-11,2164.45,SP500
2016-11-14,2164.2,SP500
2016-11-15,2180.39,SP500
2016-11-16,2176.94,SP500
2016-11-17,2187.12,SP500
2016-11-18,2181.9,SP500
2016-11-21,2198.18,SP500
2016-11-22,2202.94,SP500
2016-11-23,2204.72,SP500
2016-11-25,2213.35,SP500
2016-11-28,2201.72,SP500
2016-11-29,2204.66,SP500
2016-11-30,2198.81,SP500
2016-12-01,2191.08,SP500
2016-12-02,2191.95,SP500
2016-12-05,2204.71,SP500
2016-12-06,2212.23,SP500
2016-12-07,2241.35,SP500
2016-12-08,2246.19,SP500
2016-12-09,2259.53,SP500
2016-12-12,2256.96,SP500
2016-12-13,2271.72,SP500
